pairing_family,M003,M005,M009,M010,M015,M021,M025,M026,S001,S002,hardest_by_min_mean
drug_disease,0.516,0.5468,0.5282,0.4992,0.5147,0.5602,0.5046,0.5291,0.5361,0.5726,M010
drug_gene,0.4139,0.405,0.3817,0.345,0.4037,0.4024,0.3425,0.3512,0.3681,0.4342,M025
gene_disease,0.5276,0.4926,0.4738,0.4217,0.5301,0.6289,0.4543,0.4947,0.4765,0.5114,M010
variant_disease,0.6495,0.6238,0.5514,0.5818,0.5482,0.699,0.5348,0.5571,0.5131,0.5552,S001
