run_id,role,encoder,update,schedule,seed,biored_macro_f1_ex_neg,bc5cdr_macro_f1,bc5cdr_drug_disease_f1,kb_hit_A_setvalued,kb_pmass_B_setvalued,kb_auc_C_setvalued,n_targets_evaluable
PB_BL_FT_T1B_s01,main,BL,FT,T1B,1,0.40400263245513557,0.17505978516163057,0.7144090170593014,0.6111111111111112,0.478176784710628,0.8041660628136352,162
PB_BL_FT_T1B_s02,main,BL,FT,T1B,2,0.40411646319756267,0.1617507728919353,0.614408585972567,0.3888888888888889,0.31746845677520874,0.7164373304883187,162
PB_BL_FT_T1B_s03,main,BL,FT,T1B,3,0.343702191047577,0.16537967172174944,0.6477413330220614,0.35802469135802467,0.2586185744148679,0.6261368257865504,162
PB_BL_FT_T1B_s04,main,BL,FT,T1B,4,0.4060671492641486,0.17828384897785704,0.690692651564619,0.345679012345679,0.3161745967313268,0.48727651745990097,162
PB_BL_FT_T1B_s05,main,BL,FT,T1B,5,0.37630462971756146,0.1961824295548229,0.7432802458787371,0.16049382716049382,0.12473497560814047,0.4192404376539113,162
PB_BL_FT_T1B_s06,main,BL,FT,T1B,6,0.417114187750823,0.1834888857275907,0.6990266523976966,0.35802469135802467,0.264576540698648,0.6413241696760379,162
PB_BL_FT_T1B_s07,main,BL,FT,T1B,7,0.3710093071333848,0.1752699031306059,0.6805282796543598,0.2839506172839506,0.2062347341461084,0.6298669532126384,162
PB_BL_FT_T1B_s08,main,BL,FT,T1B,8,0.4112218473667387,0.18626471761248958,0.7419474268789338,0.46296296296296297,0.4306148832195358,0.5460211305366185,162
PB_BL_FT_T1B_s09,main,BL,FT,T1B,9,0.402086589112398,0.15732106724118147,0.6268149742853726,0.32098765432098764,0.22461062852461408,0.6555310098593503,162
PB_BL_FT_T1B_s10,main,BL,FT,T1B,10,0.35704357183141083,0.16851030864441816,0.6729396790763217,0.05555555555555555,0.11633749313531788,0.18911812040044798,162
PB_BL_FT_T1B_s11,main,BL,FT,T1B,11,0.39961695771812483,0.19152578057979427,0.7384935520083236,0.3888888888888889,0.3873298548670043,0.6286148366499342,162
PB_BL_FT_T1B_s12,main,BL,FT,T1B,12,0.4022005418213329,0.15325964004243808,0.6470500564225946,0.2345679012345679,0.1933139478299123,0.3713220811194142,162
PB_BL_FT_T1B_s13,main,BL,FT,T1B,13,0.3946598614597737,0.1624759139632328,0.6793344849531776,0.4506172839506173,0.4165765199210943,0.5552953043335179,162
PB_BL_FT_T1B_s14,main,BL,FT,T1B,14,0.3705665165168213,0.16328362551148684,0.6707733174563191,0.32098765432098764,0.20319447088138673,0.674850441319189,162
PB_BL_FT_T1B_s15,main,BL,FT,T1B,15,0.3583577078378923,0.17071558599575745,0.6539237392373923,0.1111111111111111,0.16225072031087576,0.2530388248431742,162
PB_BL_FT_T1B_s16,main,BL,FT,T1B,16,0.38151442697129934,0.15592504161525425,0.6239293241849411,0.1728395061728395,0.14269603240407175,0.40095936823975026,162
PB_BL_FT_T1B_s17,main,BL,FT,T1B,17,0.36380405346969574,0.16320264975830295,0.643946828441431,0.38271604938271603,0.30097378013701537,0.6311279010530446,162
PB_BL_FT_T1B_s18,main,BL,FT,T1B,18,0.3846360410168022,0.17808739224362227,0.7107420968490537,0.345679012345679,0.2594653496883068,0.6518953475919583,162
